lig,nap,raf,hyd,lhy,c345,other,E
0,22215,4678,0,19204,221,7789,16271
0,28650,4850,0,16108,1560,7306,17222
0,27767,2803,0,18693,294,3474,15659
0,34000,172,0,15105,2485,7904,17932
0,28360,318,0,14039,4158,4126,15330
0,21126,5865,0,20658,3355,6226,16749
0,16932,6098,0,21647,4900,1013,15501
0,18022,8184,0,23308,3848,4037,17567
0,17390,8176,0,24603,346,6311,17111
0,133763,0,64390,42616,44750,1540,97005
0,116096,0,60743,38829,39710,1159,86515
0,133308,0,66811,38790,44016,1293,96808
0,141380,0,57235,33502,40175,1323,92515
0,162800,0,39559,37078,42019,1438,96510
0,162800,0,39559,37078,42019,1438,96510
0,140420,0,59876,37083,45584,1537,96807
0,83953,0,64274,66869,53376,1434,91510
0,75607,0,61769,87236,49543,1372,96038
0,74354,0,57086,85739,51985,1338,93525
0,130883,0,56671,34404,55891,1407,96665
0,95268.6,6804.12,36677.5,20091.6,321,12255.3,58850
0,55185.2,2500,23981.1,11142.4,178,4604.81,31645
0,99828.2,7329.76,39957.1,23328.2,244,11666.9,59296.2
0,105394,7014.46,62466,23620.1,281,14130.4,72312
0,120856,9752.88,48115.4,23612.7,326,15311.1,73664
0,103936,6577.56,49822.4,30163.8,350,15228.5,72162
0,114699,3347.63,43009.9,35223.5,289,14011.1,71825
15652,27621,0,50487,59889,34978,6311,66615.1
11595,65302,0,35248,59481,30253,5420,71613.8
11085,36580,0,54468,59586,33201,5465,69180.4
5049,36200,0,60551,65076,32700,5932.81,70950
4154,25195,0,59834,66616,31510,5954,66379.4
7696,34127,0,58355,60976,31163,4808,67977.4
14378,58381,0,55937,37456,29611,1823,66996.9
21669,82819,0,42713,26380,22157,1498,66320.1
16920,29568,0,49290,63043,38557,5833,70779.8
3323,31392,0,61004,59366,38174,4280,67775.4
4499,38132,0,55427,63602,38452,5937,71002
7782.66,161634,0,27804.1,31305.2,156.54,5672.09,73043.7
6353.14,155950,0,33745.7,28978.6,578.141,5399.38,72794.6
6128.09,159961,0,31113,33174.9,0,6385.08,76688.4
6253.62,146913,0,28633.9,14675,2628.01,5511.31,63887.1
5499.2,147833,0,36049,30290.4,3207.6,7411.4,72474.8
9866.11,139616,0,32550.6,14757,2918.71,4620.47,60520
5200.27,160934,0,28476.9,27406.1,3249.21,4737.04,72395.3
0,167355,1028.72,35151.4,24144,1326.8,6556.69,73018.4
615.626,164383,0,31143.6,25882.1,606.361,6584.59,70892
26156.4,71277.7,0,0,17799.1,10724.1,1938.65,39873
25990,73865.6,0,0,21278.1,13192.5,1143.87,42663
24704,71220.2,0,0,16317.1,11855,1214.56,39672
30058,69143,0,0,14703.3,13202.2,428.532,40088
29472.2,51276.4,0,0,16415.1,13003.8,544.431,34834
0,93370.1,0,0,12213.7,9649.58,4670.03,38903
0,29013,0,0,2143.93,651.427,1029.67,9893.23
0,110549,0,0,8651.22,7418.82,0,39940.6
